2025-07-01 01:29:07,799 | root | INFO | Logging to file: data\logs\dawum_connector_20250701_012907.log
2025-07-01 01:29:07,799 | root | INFO | Starting data acquisition for dawum
2025-07-01 01:29:07,799 | root | INFO | Loaded 3513 known poll IDs
2025-07-01 01:29:07,799 | root | INFO | Fetching data from API...
2025-07-01 01:29:07,799 | dawum_connector | INFO | Fetching from https://api.dawum.de/
2025-07-01 01:29:08,052 | dawum_connector | INFO | Data fetch successful
2025-07-01 01:29:08,053 | root | INFO | API response data type: <class 'dict'>
2025-07-01 01:29:08,053 | root | INFO | API response keys: ['Database', 'Parliaments', 'Institutes', 'Taskers', 'Methods', 'Parties', 'Surveys']
2025-07-01 01:29:08,075 | root | INFO | Saved 6 API mappings: ['Parties', 'Parliaments', 'Institutes', 'Taskers', 'Methods', 'Database']
2025-07-01 01:29:08,077 | root | INFO | Fetched 3510 total polls
2025-07-01 01:29:08,079 | root | INFO | Found 0 new polls
2025-07-01 01:29:08,086 | root | INFO | Updated known IDs list with 3513 total IDs
2025-07-01 01:29:08,087 | root | INFO | Created polls dictionary with 3510 entries
2025-07-01 01:29:08,087 | root | INFO | Sample poll ID: 3882, type: <class 'str'>
2025-07-01 01:29:08,455 | root | INFO | Saved all polls to data\dawum\all_polls.json
