2025-07-01 01:14:21,622 | root | INFO | Logging to file: data\logs\dawum_connector_20250701_011421.log
2025-07-01 01:14:21,622 | root | INFO | Starting data acquisition for dawum
2025-07-01 01:14:21,625 | root | INFO | Loaded 3513 known poll IDs
2025-07-01 01:14:21,625 | root | INFO | Fetching polls from API...
2025-07-01 01:14:21,626 | dawum_connector | INFO | Fetching from https://api.dawum.de/
2025-07-01 01:14:21,836 | dawum_connector | INFO | Data fetch successful
2025-07-01 01:14:21,836 | root | INFO | API response data type: <class 'dict'>
2025-07-01 01:14:21,836 | root | INFO | API response keys: ['Database', 'Parliaments', 'Institutes', 'Taskers', 'Methods', 'Parties', 'Surveys']
2025-07-01 01:14:21,856 | root | INFO | Fetched 3510 total polls
2025-07-01 01:14:21,857 | root | INFO | Found 0 new polls
2025-07-01 01:14:21,863 | root | INFO | Updated known IDs list with 3513 total IDs
2025-07-01 01:14:21,863 | root | INFO | Created polls dictionary with 3510 entries
2025-07-01 01:14:21,863 | root | INFO | Sample poll ID: 3882, type: <class 'str'>
2025-07-01 01:14:22,224 | root | INFO | Saved all polls to data\dawum\all_polls.json
